event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1743,105,VfL Bochum,home, 39 ,Goal, Kevin Stöger , Constantinos Stafylidis 
1744,105,Mainz 05,away, 62 ,Substitution, Delano Burgzorg , Angelo Fulgini 
1745,105,Mainz 05,away, 62 ,Substitution, Leandro Barreiro , Lee Jae-sung 
1746,105,Mainz 05,away, 64 ,Yellow card, Stefan Bell ,
1747,105,VfL Bochum,home, 76 ,Substitution, Jordi Osei-Tutu , Simon Zoller 
1748,105,VfL Bochum,home, 76 ,Substitution, Silvère Ganvoula , Philipp Hofmann 
1749,105,Mainz 05,away, 77 ,Goal, Karim Onisiwo , Anton Stach 
1750,105,VfL Bochum,home, 81 ,Substitution, Philipp Förster , Gerrit Holtmann 
1751,105,Mainz 05,away, 84 ,Yellow card, Delano Burgzorg ,
1752,105,Mainz 05,away, 85 ,Substitution, Marlon Mustapha , Karim Onisiwo 
1753,105,VfL Bochum,home, 87 ,Substitution, Saidy Janko , Cristian Gamboa 
1754,105,VfL Bochum,home, 93 ,Yellow card, Silvère Ganvoula ,
1755,105,Mainz 05,away, 94 ,Substitution, Anthony Caci , Edimilson Fernandes 
1756,106,SC Freiburg,away, 46 ,Goal, Michael Gregoritsch , Kiliann Sildillia 
1757,106,SC Freiburg,away, 48 ,Goal, Vincenzo Grifo ,
1758,106,SC Freiburg,away, 56 ,Disallowed goal,Disallowed goal,
1759,106,Augsburg,home, 59 ,Substitution, Fredrik Jensen , Andre Hahn 
1760,106,Augsburg,home, 59 ,Substitution, Mads Pedersen , Daniel Caligiuri 
1761,106,Augsburg,home, 59 ,Substitution, Florian Niederlechner , Ermedin Demirovic 
1762,106,SC Freiburg,away, 61 ,Goal, Matthias Ginter , Michael Gregoritsch 
1763,106,Augsburg,home, 75 ,Substitution, Ricardo Pepi , Elvis Rexhbeçaj 
1764,106,SC Freiburg,away, 76 ,Substitution, Daniel-Kofi Kyereh , Roland Sallai 
1765,106,SC Freiburg,away, 76 ,Substitution, Nils Petersen , Michael Gregoritsch 
1766,106,SC Freiburg,away, 78 ,Goal, Ritsu Dōan ,
1767,106,SC Freiburg,away, 81 ,Substitution, Noah Weißhaupt , Vincenzo Grifo 
1768,106,SC Freiburg,away, 82 ,Substitution, Jeong Woo-yeong , Ritsu Dōan 
1769,106,Augsburg,home, 82 ,Substitution, Robert Gumny , Iago 
1770,106,SC Freiburg,away, 84 ,Substitution, Hugo Siquet , Kiliann Sildillia 
1771,107,M'gladbach,home, 13 ,Yellow card, Joe Scally ,
1772,107,Hoffenheim,away, 15 ,Yellow card, Stefan Posch ,
1773,107,Hoffenheim,away, 19 ,Second yellow card, Stefan Posch ,
1774,107,Hoffenheim,away, 22 ,Yellow card, Diadié Samassékou ,
1775,107,Hoffenheim,away, 24 ,Substitution, Stanley Nsoki , Diadié Samassékou 
1776,107,Hoffenheim,away, 25 ,Goal, Robert Skov , Andrej Kramarić 
1777,107,M'gladbach,home, 42 ,Goal, Ramy Bensebaïni , Ko Itakura 
1778,107,Hoffenheim,away, 64 ,Substitution, Jacob Bruun Larsen , Georginio Rutter 
1779,107,Hoffenheim,away, 64 ,Substitution, Kevin Akpoguma , Pavel Kaderabek 
